order_id,order_date,customer_id,product,category,region,quantity,unit_price
ORD-20260918-0001,2026-09-18,C1495,Coffee Beans 1kg,Grocery,West,1,18.94
ORD-20260918-0002,2026-09-18,C1485,Green Tea Pack,Grocery,North,1,10.09
ORD-20260918-0003,2026-09-18,C1707,Smart Watch,Electronics,East,4,150.45
ORD-20260918-0004,2026-09-18,C1737,Laptop Stand,Office,South,1,32.35
ORD-20260918-0005,2026-09-18,C1631,Laptop Stand,Office,South,1,34.44
ORD-20260918-0006,2026-09-18,C1340,Ergonomic Chair,Office,North,1,225.03
ORD-20260918-0007,2026-09-18,C1535,Ergonomic Chair,Office,South,1,222.23
ORD-20260918-0008,2026-09-18,C1391,Coffee Beans 1kg,Grocery,North,1,18.49
ORD-20260918-0009,2026-09-18,C1773,USB-C Charger,Electronics,East,2,19.72
ORD-20260918-0010,2026-09-18,C1684,Coffee Beans 1kg,Grocery,East,3,18.47
ORD-20260918-0011,2026-09-18,C1977,Ergonomic Chair,Office,East,1,221.3
ORD-20260918-0012,2026-09-18,C1832,Wireless Earbuds,Electronics,North,1,54.29
ORD-20260918-0013,2026-09-18,C1033,Wireless Earbuds,Electronics,North,1,60.84
ORD-20260918-0014,2026-09-18,C1729,Water Bottle,Sports,North,1,13.51
ORD-20260918-0015,2026-09-18,C1731,Water Bottle,Sports,West,1,13.92
ORD-20260918-0016,2026-09-18,C1996,Coffee Beans 1kg,Grocery,South,1,19.33
ORD-20260918-0017,2026-09-18,C1924,USB-C Charger,Electronics,West,2,20.09
ORD-20260918-0018,2026-09-18,C1213,Running Shoes,Sports,North,1,88.27
ORD-20260918-0019,2026-09-18,C1021,Green Tea Pack,Grocery,East,2,9.87
ORD-20260918-0020,2026-09-18,C1006,Coffee Beans 1kg,Grocery,South,1,17.71
ORD-20260918-0021,2026-09-18,C1162,Wireless Earbuds,Electronics,North,1,58.8
ORD-20260918-0022,2026-09-18,C1879,Running Shoes,Sports,South,1,85.66
ORD-20260918-0023,2026-09-18,C1745,Running Shoes,Sports,West,1,81.27
ORD-20260918-0024,2026-09-18,C1790,Green Tea Pack,Grocery,South,1,9.14
ORD-20260918-0025,2026-09-18,C1238,Coffee Beans 1kg,Grocery,North,1,19.54
ORD-20260918-0026,2026-09-18,C1704,Laptop Stand,Office,West,1,35.55
ORD-20260918-0027,2026-09-18,C1148,Wireless Earbuds,Electronics,West,3,59.98
ORD-20260918-0028,2026-09-18,C1707,Coffee Beans 1kg,Grocery,East,1,18.84
ORD-20260918-0029,2026-09-18,C1097,Ergonomic Chair,Office,South,1,206.71
ORD-20260918-0030,2026-09-18,C1933,Laptop Stand,Office,East,2,34.09
ORD-20260918-0031,2026-09-18,C1119,Smart Watch,Electronics,South,1,134.81
ORD-20260918-0032,2026-09-18,C1003,Water Bottle,Sports,South,4,14.32
ORD-20260918-0033,2026-09-18,C1288,USB-C Charger,Electronics,North,1,18.05
ORD-20260918-0034,2026-09-18,C1053,Wireless Earbuds,Electronics,North,1,56.73
ORD-20260918-0035,2026-09-18,C1946,Laptop Stand,Office,North,1,32.3
ORD-20260918-0036,2026-09-18,C1557,USB-C Charger,Electronics,East,1,19.72
ORD-20260918-0037,2026-09-18,C1163,Smart Watch,Electronics,West,1,145.43
ORD-20260918-0038,2026-09-18,C1232,Running Shoes,Sports,North,2,87.34
ORD-20260918-0039,2026-09-18,C1535,Wireless Earbuds,Electronics,North,1,61.97
ORD-20260918-0040,2026-09-18,C1378,Water Bottle,Sports,North,2,15.2
ORD-20260918-0041,2026-09-18,C1399,Wireless Earbuds,Electronics,North,1,57.32
ORD-20260918-0042,2026-09-18,C1321,USB-C Charger,Electronics,North,1,18.38
ORD-20260918-0043,2026-09-18,C1209,USB-C Charger,Electronics,East,3,19.07
ORD-20260918-0044,2026-09-18,C1648,Wireless Earbuds,Electronics,South,1,56.92
ORD-20260918-0045,2026-09-18,C1250,Running Shoes,Sports,West,1,85.44
ORD-20260918-0046,2026-09-18,C1626,Green Tea Pack,Grocery,West,1,9.4
ORD-20260918-0047,2026-09-18,C1077,Water Bottle,Sports,East,1,14.49
ORD-20260918-0048,2026-09-18,C1139,Laptop Stand,Office,North,2,34.22
ORD-20260918-0049,2026-09-18,C1679,Running Shoes,Sports,East,1,91.16
ORD-20260918-0050,2026-09-18,C1251,Green Tea Pack,Grocery,South,1,10.09
ORD-20260918-0051,2026-09-18,C1649,Desk Lamp,Office,East,1,25.82
ORD-20260918-0052,2026-09-18,C1794,Coffee Beans 1kg,Grocery,West,4,18.01
ORD-20260918-0053,2026-09-18,C1256,Running Shoes,Sports,East,1,87.54
ORD-20260918-0054,2026-09-18,C1552,Smart Watch,Electronics,East,1,152.79
ORD-20260918-0055,2026-09-18,C1867,Water Bottle,Sports,East,2,15.21
ORD-20260918-0056,2026-09-18,C1312,Wireless Earbuds,Electronics,West,1,58.22
ORD-20260918-0057,2026-09-18,C1160,Wireless Earbuds,Electronics,West,2,61.76
ORD-20260918-0058,2026-09-18,C1593,Running Shoes,Sports,North,2,91.64
ORD-20260918-0059,2026-09-18,C1916,Water Bottle,Sports,West,1,13.69
ORD-20260918-0060,2026-09-18,C1709,USB-C Charger,Electronics,East,4,19.13
ORD-20260918-0061,2026-09-18,C1601,Smart Watch,Electronics,West,1,135.75
ORD-20260918-0062,2026-09-18,C1686,Green Tea Pack,Grocery,East,1,9.81
ORD-20260918-0063,2026-09-18,C1893,Coffee Beans 1kg,Grocery,East,3,18.0
ORD-20260918-0064,2026-09-18,C1956,Desk Lamp,Office,East,1,26.87
