order_id,order_date,customer_id,product,category,region,quantity,unit_price
ORD-20260910-0001,2026-09-10,C1738,Yoga Mat,Sports,South,2,24.21
ORD-20260910-0002,2026-09-10,C1947,Smart Watch,Electronics,South,1,136.42
ORD-20260910-0003,2026-09-10,C1269,Yoga Mat,Sports,North,1,25.99
ORD-20260910-0004,2026-09-10,C1236,Green Tea Pack,Grocery,North,2,10.45
ORD-20260910-0005,2026-09-10,C1732,USB-C Charger,Electronics,North,1,19.66
ORD-20260910-0006,2026-09-10,C1963,USB-C Charger,Electronics,West,2,19.97
ORD-20260910-0007,2026-09-10,C1778,Running Shoes,Sports,West,1,85.71
ORD-20260910-0008,2026-09-10,C1940,Running Shoes,Sports,East,2,88.21
ORD-20260910-0009,2026-09-10,C1172,Desk Lamp,Office,North,2,28.08
ORD-20260910-0010,2026-09-10,C1185,Wireless Earbuds,Electronics,South,1,60.56
ORD-20260910-0011,2026-09-10,C1169,Green Tea Pack,Grocery,South,1,10.45
ORD-20260910-0012,2026-09-10,C1929,USB-C Charger,Electronics,West,1,19.44
ORD-20260910-0013,2026-09-10,C1027,Desk Lamp,Office,West,2,28.89
ORD-20260910-0014,2026-09-10,C1768,Running Shoes,Sports,South,1,93.11
ORD-20260910-0015,2026-09-10,C1132,Green Tea Pack,Grocery,West,2,10.07
ORD-20260910-0016,2026-09-10,C1695,USB-C Charger,Electronics,East,2,20.19
ORD-20260910-0017,2026-09-10,C1435,Running Shoes,Sports,North,2,84.02
ORD-20260910-0018,2026-09-10,C1960,USB-C Charger,Electronics,North,1,19.66
ORD-20260910-0019,2026-09-10,C1712,Coffee Beans 1kg,Grocery,East,2,18.6
ORD-20260910-0020,2026-09-10,C1374,Wireless Earbuds,Electronics,South,1,54.83
ORD-20260910-0021,2026-09-10,C1325,USB-C Charger,Electronics,North,4,18.48
ORD-20260910-0022,2026-09-10,C1599,Coffee Beans 1kg,Grocery,South,1,17.0
ORD-20260910-0023,2026-09-10,C1794,Wireless Earbuds,Electronics,East,1,60.33
ORD-20260910-0024,2026-09-10,C1501,Yoga Mat,Sports,East,3,23.87
ORD-20260910-0025,2026-09-10,C1843,Ergonomic Chair,Office,North,1,214.17
ORD-20260910-0026,2026-09-10,C1562,Desk Lamp,Office,North,2,28.63
ORD-20260910-0027,2026-09-10,C1630,USB-C Charger,Electronics,West,1,18.78
ORD-20260910-0028,2026-09-10,C1210,Green Tea Pack,Grocery,East,1,9.84
ORD-20260910-0029,2026-09-10,C1181,Wireless Earbuds,Electronics,East,1,56.67
ORD-20260910-0030,2026-09-10,C1147,Ergonomic Chair,Office,West,2,208.57
ORD-20260910-0031,2026-09-10,C1042,Smart Watch,Electronics,South,2,151.77
ORD-20260910-0032,2026-09-10,C1821,Running Shoes,Sports,East,1,90.02
ORD-20260910-0033,2026-09-10,C1670,Yoga Mat,Sports,East,2,24.92
ORD-20260910-0034,2026-09-10,C1668,Ergonomic Chair,Office,East,1,207.35
ORD-20260910-0035,2026-09-10,C1973,Water Bottle,Sports,East,2,14.67
ORD-20260910-0036,2026-09-10,C1631,Running Shoes,Sports,North,1,83.67
ORD-20260910-0037,2026-09-10,C1506,Yoga Mat,Sports,West,1,22.82
ORD-20260910-0038,2026-09-10,C1753,Running Shoes,Sports,West,4,92.53
ORD-20260910-0039,2026-09-10,C1023,Green Tea Pack,Grocery,South,1,9.63
ORD-20260910-0040,2026-09-10,C1178,Green Tea Pack,Grocery,South,2,9.63
ORD-20260910-0041,2026-09-10,C1758,Running Shoes,Sports,South,2,91.14
ORD-20260910-0042,2026-09-10,C1415,Desk Lamp,Office,North,1,25.49
ORD-20260910-0043,2026-09-10,C1623,USB-C Charger,Electronics,West,1,19.24
ORD-20260910-0044,2026-09-10,C1615,Coffee Beans 1kg,Grocery,East,3,18.21
ORD-20260910-0045,2026-09-10,C1199,Green Tea Pack,Grocery,West,2,10.23
ORD-20260910-0046,2026-09-10,C1894,Yoga Mat,Sports,North,1,25.92
ORD-20260910-0047,2026-09-10,C1585,Green Tea Pack,Grocery,South,2,9.63
