order_id,order_date,customer_id,product,category,region,quantity,unit_price
ORD-20260926-0001,2026-09-26,C1391,Running Shoes,Sports,West,2,85.44
ORD-20260926-0002,2026-09-26,C1253,USB-C Charger,Electronics,East,1,19.93
ORD-20260926-0003,2026-09-26,C1265,Green Tea Pack,Grocery,West,3,9.02
ORD-20260926-0004,2026-09-26,C1700,Water Bottle,Sports,South,1,15.15
ORD-20260926-0005,2026-09-26,C1027,Laptop Stand,Office,South,3,36.13
ORD-20260926-0006,2026-09-26,C1240,Running Shoes,Sports,East,2,82.1
ORD-20260926-0007,2026-09-26,C1537,Coffee Beans 1kg,Grocery,South,3,18.45
ORD-20260926-0008,2026-09-26,C1836,Running Shoes,Sports,East,1,86.14
ORD-20260926-0009,2026-09-26,C1849,Coffee Beans 1kg,Grocery,East,1,19.55
ORD-20260926-0010,2026-09-26,C1732,Green Tea Pack,Grocery,East,1,9.94
ORD-20260926-0011,2026-09-26,C1781,Laptop Stand,Office,West,2,35.04
ORD-20260926-0012,2026-09-26,C1709,Ergonomic Chair,Office,South,2,216.99
ORD-20260926-0013,2026-09-26,C1593,Smart Watch,Electronics,South,2,134.9
ORD-20260926-0014,2026-09-26,C1144,Green Tea Pack,Grocery,South,2,9.13
ORD-20260926-0015,2026-09-26,C1587,Running Shoes,Sports,South,1,92.54
ORD-20260926-0016,2026-09-26,C1932,Laptop Stand,Office,South,1,32.78
ORD-20260926-0017,2026-09-26,C1192,Smart Watch,Electronics,East,4,139.76
ORD-20260926-0018,2026-09-26,C1343,Water Bottle,Sports,South,4,14.78
ORD-20260926-0019,2026-09-26,C1365,Laptop Stand,Office,North,1,31.58
ORD-20260926-0020,2026-09-26,C1228,Wireless Earbuds,Electronics,West,2,54.92
ORD-20260926-0021,2026-09-26,C1888,Green Tea Pack,Grocery,South,2,9.94
ORD-20260926-0022,2026-09-26,C1929,Desk Lamp,Office,North,1,27.03
ORD-20260926-0023,2026-09-26,C1182,Yoga Mat,Sports,North,2,25.71
ORD-20260926-0024,2026-09-26,C1834,Green Tea Pack,Grocery,North,2,10.42
ORD-20260926-0025,2026-09-26,C1071,Green Tea Pack,Grocery,South,3,9.08
ORD-20260926-0026,2026-09-26,C1483,Ergonomic Chair,Office,North,2,197.93
ORD-20260926-0027,2026-09-26,C1315,Smart Watch,Electronics,West,2,139.25
ORD-20260926-0028,2026-09-26,C1408,Coffee Beans 1kg,Grocery,North,1,17.05
ORD-20260926-0029,2026-09-26,C1239,Coffee Beans 1kg,Grocery,West,3,18.87
ORD-20260926-0030,2026-09-26,C1612,Laptop Stand,Office,North,1,35.61
ORD-20260926-0031,2026-09-26,C1457,Coffee Beans 1kg,Grocery,North,1,18.0
ORD-20260926-0032,2026-09-26,C1380,Wireless Earbuds,Electronics,South,1,54.31
ORD-20260926-0033,2026-09-26,C1749,Laptop Stand,Office,South,2,35.67
ORD-20260926-0034,2026-09-26,C1213,Laptop Stand,Office,East,1,34.07
ORD-20260926-0035,2026-09-26,C1277,Water Bottle,Sports,South,2,13.69
ORD-20260926-0036,2026-09-26,C1479,Ergonomic Chair,Office,West,1,228.25
ORD-20260926-0037,2026-09-26,C1571,Green Tea Pack,Grocery,East,1,9.62
ORD-20260926-0038,2026-09-26,C1006,Coffee Beans 1kg,Grocery,North,2,17.83
ORD-20260926-0039,2026-09-26,C1839,Ergonomic Chair,Office,North,3,204.43
ORD-20260926-0040,2026-09-26,C1601,USB-C Charger,Electronics,North,1,18.35
ORD-20260926-0041,2026-09-26,C1488,Ergonomic Chair,Office,South,2,221.3
ORD-20260926-0042,2026-09-26,C1865,Yoga Mat,Sports,North,1,22.69
ORD-20260926-0043,2026-09-26,C1070,USB-C Charger,Electronics,North,1,18.85
ORD-20260926-0044,2026-09-26,C1228,Smart Watch,Electronics,North,4,135.47
ORD-20260926-0045,2026-09-26,C1638,Yoga Mat,Sports,West,1,22.77
ORD-20260926-0046,2026-09-26,C1401,Desk Lamp,Office,West,2,25.45
ORD-20260926-0047,2026-09-26,C1251,USB-C Charger,Electronics,East,4,19.29
ORD-20260926-0048,2026-09-26,C1139,USB-C Charger,Electronics,South,1,19.89
ORD-20260926-0049,2026-09-26,C1026,Wireless Earbuds,Electronics,West,2,61.03
ORD-20260926-0050,2026-09-26,C1272,USB-C Charger,Electronics,West,1,19.77
ORD-20260926-0051,2026-09-26,C1011,Ergonomic Chair,Office,South,1,207.2
ORD-20260926-0052,2026-09-26,C1728,Smart Watch,Electronics,East,3,141.49
ORD-20260926-0053,2026-09-26,C1045,Green Tea Pack,Grocery,West,1,9.1
ORD-20260926-0054,2026-09-26,C1685,Wireless Earbuds,Electronics,South,4,61.02
ORD-20260926-0055,2026-09-26,C1767,USB-C Charger,Electronics,East,1,19.2
ORD-20260926-0056,2026-09-26,C1026,USB-C Charger,Electronics,North,1,20.72
ORD-20260926-0057,2026-09-26,C1666,USB-C Charger,Electronics,North,2,18.41
ORD-20260926-0058,2026-09-26,C1673,Desk Lamp,Office,South,3,25.95
ORD-20260926-0059,2026-09-26,C1470,Yoga Mat,Sports,South,1,24.77
ORD-20260926-0060,2026-09-26,C1415,Laptop Stand,Office,North,2,36.12
ORD-20260926-0061,2026-09-26,C1492,Water Bottle,Sports,South,3,13.72
ORD-20260926-0062,2026-09-26,C1770,Smart Watch,Electronics,South,2,147.91
ORD-20260926-0063,2026-09-26,C1654,Green Tea Pack,Grocery,South,1,10.49
ORD-20260926-0064,2026-09-26,C1190,Wireless Earbuds,Electronics,South,1,54.88
ORD-20260926-0065,2026-09-26,C1830,Desk Lamp,Office,North,2,27.1
ORD-20260926-0066,2026-09-26,C1207,Desk Lamp,Office,West,4,28.24
ORD-20260926-0067,2026-09-26,C1112,Yoga Mat,Sports,North,1,25.51
ORD-20260926-0068,2026-09-26,C1801,Desk Lamp,Office,South,2,29.23
ORD-20260926-0069,2026-09-26,C1094,USB-C Charger,Electronics,West,3,20.91
ORD-20260926-0070,2026-09-26,C1376,USB-C Charger,Electronics,South,1,20.4
ORD-20260926-0071,2026-09-26,C1545,Green Tea Pack,Grocery,South,1,9.03
ORD-20260926-0072,2026-09-26,C1450,Ergonomic Chair,Office,East,1,207.47
ORD-20260926-0073,2026-09-26,C1415,USB-C Charger,Electronics,South,2,19.08
ORD-20260926-0074,2026-09-26,C1570,USB-C Charger,Electronics,East,1,18.18
ORD-20260926-0075,2026-09-26,C1537,Ergonomic Chair,Office,East,1,201.62
ORD-20260926-0076,2026-09-26,C1256,Yoga Mat,Sports,West,1,26.13
